# Description: Public SysCilia Gold Standard Version 1
# Authors: TJP van Dam, G Wheway, GG Slaats, SYSCILIA Study Group, MA Huynen, RH Giles
# Date: 2013-05-22
# Version: 1.0 (GS version 4.0)
# Ensembl version: 71
# Note: First official PUBLIC release version of the SysCilia Gold Standard. Published in the Cilia journal
# Column 1: ensembl gene id
# Column 2: gene name
# Column 3: gene description from ensembl
# Column 4: Curator's note, describes reason for including the gene in the gold standard.
# Column 5: evidence for ciliary involvement as pubmed ids
# Column 6: ciliome studies that report this gene
# Column 7: Cellular and ciliary localisation of the protein
## ensembl_gene_id	ensembl_gene_symbol	ensembl_gene_desc	scgs_note	scgs_pubmed	scgs_ciliomes	scgs_localisation
ENSG00000138031	ADCY3	adenylate cyclase 3 [Source:HGNC Symbol;Acc:234]	Localized to the plasma membrane of neuronal cilia PMID: 17924533, PMID: 23392690	PMID:17924533, PMID:23392690	Mayer et al. 2009	Ciliary Membrane
ENSG00000105877	DNAH11	dynein, axonemal, heavy chain 11 [Source:HGNC Symbol;Acc:2942]	Mutated in primary ciliary dyskinesia (type 7) with or without situs inversus OMIM 603339 PMID:12142464, PMID:18022865. Mutated in mouse models of situs inversus PMID:9353118. Component of outer dynein arms, mutants have normal axonemel ultrastructure, but lack dynein arms. 	PMID:12142464, PMID:18022865	Arnaiz et al. 2009, Arnaiz et al. 2010, Boesger et al. 2009, Broadhead et al. 2006, Laurencon et al. 2007, Li et al. 2004, Ostrowski et al. 2002, Pazour et al. 2005, Smith et al. 2005	Axoneme
ENSG00000183914	DNAH2	dynein, axonemal, heavy chain 2 [Source:HGNC Symbol;Acc:2948]	Component of axonemal inner arm dynein PMID:9256245	PMID:9256245	Arnaiz et al. 2009, Arnaiz et al. 2010, Boesger et al. 2009, Broadhead et al. 2006, Laurencon et al. 2007, Li et al. 2004, Pazour et al. 2005, Smith et al. 2005	Axoneme
ENSG00000039139	DNAH5	dynein, axonemal, heavy chain 5 [Source:HGNC Symbol;Acc:2950]	Mutated in primary ciliary dyskinesia (type 3) with or without situs inversus OMIM 603335 PMID:11788826. Component of outer dynein arms mutants have normal axonemel ultrastructure, but lack dynein arms PMID:11062149	PMID:11788826, PMID:11062149	Arnaiz et al. 2009, Arnaiz et al. 2010, Avidor-Reiss et al. 2004, Boesger et al. 2009, Broadhead et al. 2006, Laurencon et al. 2007, Li et al. 2004, Ostrowski et al. 2002, Pazour et al. 2005, Smith et al. 2005	Axoneme
ENSG00000115423	DNAH6	dynein, axonemal, heavy chain 6 [Source:HGNC Symbol;Acc:2951]	Component of axonemal dynein PMID:8812413	PMID:8812413	Arnaiz et al. 2009, Arnaiz et al. 2010, Boesger et al. 2009, Broadhead et al. 2006, Laurencon et al. 2007, Li et al. 2004, Pazour et al. 2005, Ross et al. 2007, Smith et al. 2005	Axoneme
ENSG00000122735	DNAI1	dynein, axonemal, intermediate chain 1 [Source:HGNC Symbol;Acc:2954]	Mutated in primary ciliary dyskinesia (type 1), with or without situs inversus OMIM 604366 PMID:10577904, PMID:11231901. Component of outer dynein arms.	PMID:11231901, PMID:10577904	Arnaiz et al. 2009, Arnaiz et al. 2010, Avidor-Reiss et al. 2004, Broadhead et al. 2006, Li et al. 2004, Merchant et al. 2007, Ostrowski et al. 2002, Pazour et al. 2005, Ross et al. 2007, Smith et al. 2005, Stolc et al. 2005	Axoneme
ENSG00000171595	DNAI2	dynein, axonemal, intermediate chain 2 [Source:HGNC Symbol;Acc:18744]	Mutated in primary ciliary dyskinesia (type 9), with or without situs inversus OMIM 605483 PMID:18950741. Component of outer dynein arms.	PMID:18950741	Arnaiz et al. 2009, Avidor-Reiss et al. 2004, Broadhead et al. 2006, Li et al. 2004, Merchant et al. 2007, Ostrowski et al. 2002, Pazour et al. 2005, Ross et al. 2007, Smith et al. 2005, Stolc et al. 2005	Axoneme
ENSG00000119661	DNAL1	dynein, axonemal, light chain 1 [Source:HGNC Symbol;Acc:23247]	Mutated in primary ciliary dyskinesia (type 16) OMIM 610062 PMID:15845866, PMID:21496787. Component of outer dynein arms.	PMID:15845866, PMID:21496787	Arnaiz et al. 2009, Arnaiz et al. 2010, Avidor-Reiss et al. 2004, Broadhead et al. 2006, Li et al. 2004, Merchant et al. 2007, Ostrowski et al. 2002, Pazour et al. 2005, Ross et al. 2007, Smith et al. 2005, Stolc et al. 2005	Axoneme
ENSG00000163879	DNALI1	dynein, axonemal, light intermediate chain 1 [Source:HGNC Symbol;Acc:14353]	Component of axonemal dynein PMID:9284741, PMID:16496424	PMID:9284741, PMID:16496424	Arnaiz et al. 2009, Arnaiz et al. 2010, Avidor-Reiss et al. 2004, Blacque et al. 2005, Broadhead et al. 2006, Li et al. 2004, McClintock et al. 2008, Merchant et al. 2007, Ostrowski et al. 2002, Pazour et al. 2005, Ross et al. 2007, Smith et al. 2005, Stolc et al. 2005, Stubbs et al. 2008	Cilium
ENSG00000166171	DPCD	deleted in primary ciliary dyskinesia homolog (mouse) [Source:HGNC Symbol;Acc:24542]	Deleted in a mouse model of primary ciliary dyskinesia PMID: 20080492 PMID: 21746835	PMID:20080492, PMID:21746835		
ENSG00000092964	DPYSL2	dihydropyrimidinase-like 2 [Source:HGNC Symbol;Acc:3014]	CRMP-2. Promotes axon formation, neurite outgrowth and elongation in neuronal cells. Targeted to cilium by GSK3 PMID:23185275	PMID:23185275	Mayer et al. 2009	Cilium
ENSG00000184845	DRD1	dopamine receptor D1 [Source:HGNC Symbol;Acc:3020]	Localized to the plasma membrane of neuronal cilia and NIH3T3 cells PMID: 20531939	PMID:20531939		Ciliary Membrane
ENSG00000149295	DRD2	dopamine receptor D2 [Source:HGNC Symbol;Acc:3023]	Localized to the plasma membrane of neuronal cilia and NIH3T3 cells PMID: 20531939	PMID:20531939		Ciliary Membrane
ENSG00000169676	DRD5	dopamine receptor D5 [Source:HGNC Symbol;Acc:3026] 	Localized to the plasma membrane of neuronal cilia and NIH3T3 cells PMID: 20531939	PMID:20531939		Ciliary Membrane
ENSG00000107404	DVL1	dishevelled, dsh homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:3084]	Required for apical docking of basal bodies PMID:18552847 and planar cell polarity via inversin PMID:15852005	PMID:18552847, PMID:15852005	Blacque et al. 2005	Basal Body
ENSG00000187240	DYNC2H1	dynein, cytoplasmic 2, heavy chain 1 [Source:HGNC Symbol;Acc:2962]	DHC1b. Mutated in Jeune asphyxiating thoracic dystrophy (type 3), short rib polydactyly syndromes (type 2 and 3) OMIM 603297 PMID:19442771. PMID:19361615. Required for ciliogenesis in chondrocytes. Localises to Golgi PMID:8666668.Involved in Smo trafficking along the cilium PMID:18488998. Required for cilia assemby PMID:9971742	PMID:19442771, PMID:19361615, PMID:8666668, PMID:18488998, PMID:9971742	Arnaiz et al. 2009, Arnaiz et al. 2010, Blacque et al. 2005, Boesger et al. 2009, Broadhead et al. 2006, Chen et al. 2006, Laurencon et al. 2007, Li et al. 2004, Liu et al. 2007, Mayer et al. 2009, Pazour et al. 2005, Smith et al. 2005	Golgi, Axoneme
ENSG00000146425	DYNLT1	dynein, light chain, Tctex-type 1 [Source:HGNC Symbol;Acc:11697]	TCTEX1. Role at transition zone in cilia resorption at the start of S phase PMID: 21394082. Regulates cilia length PMID: 21700358. 	PMID:21700358, PMID:21394082	Arnaiz et al. 2009, Blacque et al. 2005, Broadhead et al. 2006, Li et al. 2004, Ostrowski et al. 2002, Pazour et al. 2005, Stolc et al. 2005	Axoneme, Transition Zone
ENSG00000256061	DYX1C1	dyslexia susceptibility 1 candidate 1 [Source:HGNC Symbol;Acc:21493]	Upregulated during ciliogenesis and localize to centrosome and (in some cells) primary cilia PMID:23300604	PMID:23300604		Centrosome, Cilium
ENSG00000096093	EFHC1	EF-hand domain (C-terminal) containing 1 [Source:HGNC Symbol;Acc:16406]	EF-hand domain (C-terminal) containing 1. Mutated in Juvenile myoclonic epilepsy. Axonemal protein PMID:15670853. Binds tektin PMID:16831421. Transcription regulated by FOXJ1a PMID:20937855. Regulates beat frequency? PMID:23213475	PMID:15670853, PMID:16831421, PMID:20937855, PMID:23213475	Arnaiz et al. 2009, Arnaiz et al. 2010, Broadhead et al. 2006, Keller et al. 2005, Kilburn et al. 2007, Kubo et al. 2008, Li et al. 2004, McClintock et al. 2008, Merchant et al. 2007, Ostrowski et al. 2002, Pazour et al. 2005, Ross et al. 2007, Smith et al. 2005, Stolc et al. 2005, Stubbs et al. 2008	Axoneme
ENSG00000072840	EVC	Ellis van Creveld syndrome [Source:HGNC Symbol;Acc:3497]	Mutated in Ellis-van Creveld syndrome and Weyers acrodental dysostosis OMIM 604831, PMID:10700184. At base of cilia PMID:17660199. Diminished Hh response in EVC patients PMID:19876929. Transduces Hh signal at cilium with Smo PMID:22986504.	PMID:10700184, PMID:17660199, PMID:19876929, PMID:22986504.		Transition Zone
ENSG00000173040	EVC2	Ellis van Creveld syndrome 2 [Source:HGNC Symbol;Acc:19747]	Mutated in Ellis-van Creveld syndrome OMIM 607261 PMID:607261. Transduces Hh signal at cilium with Smo PMID:22981989. Positive modulator of Hh signalling PMID:21356043 	PMID:607261, PMID:22981989, PMID:21356043 		Cilia membrane, Nucleus
ENSG00000180104	EXOC3	exocyst complex component 3 [Source:HGNC Symbol;Acc:30378]	SEC6. Required for deciliation. RNAi-mediated reduction of Exocyst subunit Sec6 inhibits ciliary shedding and specifically blocks deciliation-associated down-regulation of claudin-2 and gp135. PMID:19005211 	PMID:19005211	Liu et al. 2007	
ENSG00000131558	EXOC4	exocyst complex component 4 [Source:HGNC Symbol;Acc:30389]	 SEC8. Required for apical docking of basal bodies with DVL1 PMID:18552847	PMID:18552847	Liu et al. 2007	Basal body
ENSG00000070367	EXOC5	exocyst complex component 5 [Source:HGNC Symbol;Acc:10696]	SEC10. Necessary for primary ciliogenesis and cystogenesis in vitro PMID:19297529 	PMID:19297529	Liu et al. 2007	Cytosol, Plasma Membrane, Cilium
ENSG00000138190	EXOC6	exocyst complex component 6 [Source:HGNC Symbol;Acc:23196] 	Sec15 paralogue. Binds Rabin8 PMID: 23435566	PMID:23435566	Blacque et al. 2005, Liu et al. 2007	
ENSG00000144036	EXOC6B	exocyst complex component 6B [Source:HGNC Symbol;Acc:17085] 	Sec15 paralogue. Binds Rabin8 PMID: 23435566	PMID:23435566	Blacque et al. 2005, Liu et al. 2007	
ENSG00000170264	FAM161A	family with sequence similarity 161, member A [Source:HGNC Symbol;Acc:25808]	Mutated in retinitis pigmentosa (type 28) OMIM 613596 PMID:20705278, PMID:20705279. Role in microtubule acetylation and stabilizationPMID: 22791751. Interacts with lebercilin, CEP290, OFD1 and SDCCAG8. Knockdown reduces cilia number PMID:22940612. Localizes In retinal photoreceptors: connecting cilium, the basal body region and the adjacent centriole. In cultured cells: at centrosome base of primary cilia	PMID:20705278, PMID:20705279, PMID: 22791751, PMID:22940612.	Andersen et al. 2003, Efimenko et al. 2005, Liu et al. 2007, Ross et al. 2007	Connecting Cilium, Basal Body, Centrosome
ENSG00000188878	FBF1	Fas (TNFRSF6) binding factor 1 [Source:HGNC Symbol;Acc:24674]	Distal appendage of centrioles, essential for ciliogenesis PMID:23348840.	PMID:23348840.	Avidor-Reiss et al. 2004, Laurencon et al. 2007	Centriole
ENSG00000196924	FLNA	filamin A, alpha [Source:HGNC Symbol;Acc:3754]	Interacts with meckelin (TMEM67) and MKS1. At base of cilium. Knockdown leads to reduced numbers of cilia. PMID:22121117	PMID:22121117	Liu et al. 2007, Mayer et al. 2009	Basal body
ENSG00000133393	FOPNL	FGFR1OP N-terminal like [Source:HGNC Symbol;Acc:26435]	FOR20. Pericentriolar satellite protein. Involved in regulating the interaction of PCM1 satellites with microtubules and motors PMID:20551181	PMID:20551181	Andersen et al. 2003, Kilburn et al. 2007, Li et al. 2004, Liu et al. 2007, Merchant et al. 2007	Centriolar Satellite
ENSG00000129654	FOXJ1	forkhead box J1 [Source:HGNC Symbol;Acc:3816]	PMID:19011630 transcription factor regulating expression of cilia genes	PMID:19011630	McClintock et al. 2008, Ross et al. 2007	Nucleus
ENSG00000010361	FUZ	fuzzy homolog (Drosophila) [Source:HGNC Symbol;Acc:26219]	PMID:16493421 governs apical actin assembly and thus controls the orientation, but not assembly, of ciliary microtubules. Regulates IFT PMID:22778277	PMID:16493421, PMID:22778277		Cytosol
ENSG00000141013	GAS8	growth arrest-specific 8 [Source:HGNC Symbol;Acc:4166]	Required for sperm motility PMID:11751847 and Smo translocation into cilium PMID:21659505. microtubule associated subunit of the Dynein Regulatory Complex (DRC)	PMID:11751847, PMID:21659505	Arnaiz et al. 2009, Arnaiz et al. 2010, Avidor-Reiss et al. 2004, Broadhead et al. 2006, Li et al. 2004, Merchant et al. 2007, Ostrowski et al. 2002, Pazour et al. 2005, Smith et al. 2005, Stolc et al. 2005	Axoneme
ENSG00000111087	GLI1	GLI family zinc finger 1 [Source:HGNC Symbol;Acc:4317]	Effectors of Hh signaling, localizes to tip of cilium. PMID:21209912	PMID:21209912	Blacque et al. 2005	Ciliary Tip
ENSG00000074047	GLI2	GLI family zinc finger 2 [Source:HGNC Symbol;Acc:4318]	Localizes together with other Hh proteins to tip of cilium	PMID:16254602	Blacque et al. 2005	Ciliary Tip
ENSG00000106571	GLI3	GLI family zinc finger 3 [Source:HGNC Symbol;Acc:4319]	Localizes together with other Hh proteins to tip of cilium	PMID:16254602	Blacque et al. 2005	Ciliary Tip
ENSG00000126603	GLIS2	GLIS family zinc finger 2 [Source:HGNC Symbol;Acc:29450]	NPHP7 OMIM 608539. Mutation causes NPHP.	PMID:17618285		
ENSG00000143147	GPR161	G protein-coupled receptor 161 [Source:HGNC Symbol;Acc:23694]	Localizes to primary cilia in a Tulp3/IFT-A-dependent manner. Negatively regulates Shh signalling PMID:23332756 	PMID:23332756 		Cilium
ENSG00000164199	GPR98	G protein-coupled receptor 98 [Source:HGNC Symbol;Acc:17416]	USH2C OMIM 602851. Mutation causes Usher syndrome type IIC	PMID:15671307	Liu et al. 2007	Connecting Cilium, Stereocilium
ENSG00000082701	GSK3B	glycogen synthase kinase 3 beta [Source:HGNC Symbol;Acc:4617]	Combined deactivation with VHL causes loss of cilia 	PMID:17450132, PMID:23185275	Liu et al. 2007, Nogales-Cadenas et al. 2006, Pazour et al. 2005	
ENSG00000173805	HAP1	huntingtin-associated protein 1 [Source:HGNC Symbol;Acc:4812]	Retrograde trafficking of PCM1 regulated by HTT and HAP1 to control ciliogenesis PMID:21985783	PMID:21985783	Nogales-Cadenas et al. 2006	Centrosome, Basal Body
ENSG00000164818	HEATR2	HEAT repeat containing 2 [Source:HGNC Symbol;Acc:26013]	Mutation causes PCD, presumably involved in dynein arm transport or assembly	PMID:23040496	Li et al. 2004	Cytosol
ENSG00000108753	HNF1B	HNF1 homeobox B [Source:HGNC Symbol;Acc:11630]	Mutation causes renal cyst and diabetes syndrome (OMIM #137920). Deficiency causes ciliary defects in human cholangiocytes PMID:22706971	PMID:22706971		
ENSG00000109971	HSPA8	heat shock 70kDa protein 8 [Source:HGNC Symbol;Acc:5241]	Chaperone of the IFT together with DnajB6	PMID:19302411	Andersen et al. 2003, Arnaiz et al. 2009, Blacque et al. 2005, Broadhead et al. 2006, Kilburn et al. 2007, Laurencon et al. 2007, Liu et al. 2007, Mayer et al. 2008, Mayer et al. 2009, Muller et al. 2010, Nogales-Cadenas et al. 2006, Ostrowski et al. 2002, Pazour et al. 2005, Ross et al. 2007, Stolc et al. 2005	
ENSG00000081870	HSPB11	heat shock protein family B (small), member 11 [Source:HGNC Symbol;Acc:25019]	IFT25, part of IFT-B complex. Forms a complex with IFT27. External submission.	PMID:19253336; PMID:19382199; PMID:21505417; PMID:22595669	Li et al. 2004, Liu et al. 2007, Pazour et al. 2005, Stolc et al. 2005	Cilium, IFT
ENSG00000158748	HTR6	5-hydroxytryptamine (serotonin) receptor 6, G protein-coupled [Source:HGNC Symbol;Acc:5301] 	Localises to the plasma membrane of neuronal cilia in the rat brain. PMID:10924708	PMID:10924708		Ciliary Membrane
ENSG00000197386	HTT	huntingtin [Source:HGNC Symbol;Acc:4851]	Retrograde trafficking of PCM1 regulated by HTT and HAP1 to control ciliogenesis PMID:21985783	PMID:21985783	Liu et al. 2007, Nogales-Cadenas et al. 2006, Ross et al. 2007	Centrosome, Basal Body
ENSG00000157423	HYDIN	HYDIN, axonemal central pair apparatus protein [Source:HGNC Symbol;Acc:19368]	axonemal central pair apparatus protein PMID:17296796 mutated in PCD PMID: 23022101 	PMID:17296796, PMID:23022101	Arnaiz et al. 2009, Boesger et al. 2009, Broadhead et al. 2006, Li et al. 2004, McClintock et al. 2008, Merchant et al. 2007, Pazour et al. 2005, Ross et al. 2007, Smith et al. 2005	Central Pair
ENSG00000198331	HYLS1	hydrolethalus syndrome 1 [Source:HGNC Symbol;Acc:26558]	Hydrolethalus syndrome OMIM 610693. Mutation impares ciliogenesis. Required for apical anchoring of basal body/centriole	PMID:19656802	Andersen et al. 2003	Basal Body
ENSG00000163913	IFT122	intraflagellar transport 122 homolog (Chlamydomonas) [Source:HGNC Symbol;Acc:13556]	component of IFT complex A	PMID:20493458	Arnaiz et al. 2009, Avidor-Reiss et al. 2004, Chen et al. 2006, Li et al. 2004, Liu et al. 2007, Pazour et al. 2005	Basal Body, Cilium, IFT
ENSG00000187535	IFT140	intraflagellar transport 140 homolog (Chlamydomonas) [Source:HGNC Symbol;Acc:29077]	component of IFT complex A, mutated in skeletal ciliopathies with kidney disease PMID: 23418020	PMID:23418020	Arnaiz et al. 2009, Arnaiz et al. 2010, Avidor-Reiss et al. 2004, Blacque et al. 2005, Efimenko et al. 2005, Li et al. 2004, Liu et al. 2007, Merchant et al. 2007, Pazour et al. 2005	Basal Body, Cilium, IFT
ENSG00000138002	IFT172	intraflagellar transport 172 homolog (Chlamydomonas) [Source:HGNC Symbol;Acc:30391]	component of IFT complex B	PMID:18930042	Arnaiz et al. 2009, Arnaiz et al. 2010, Avidor-Reiss et al. 2004, Blacque et al. 2005, Chen et al. 2006, Efimenko et al. 2005, Laurencon et al. 2007, Li et al. 2004, Liu et al. 2007, McClintock et al. 2008, Merchant et al. 2007, Ostrowski et al. 2002, Pazour et al. 2005, Ross et al. 2007	Basal Body, Cilium, IFT
ENSG00000109083	IFT20	intraflagellar transport 20 homolog (Chlamydomonas) [Source:HGNC Symbol;Acc:30989]	component of IFT complex B	PMID:12821668, PMID:16775004	Arnaiz et al. 2009, Avidor-Reiss et al. 2004, Blacque et al. 2005, Efimenko et al. 2005, Laurencon et al. 2007, Liu et al. 2007, Merchant et al. 2007, Nogales-Cadenas et al. 2006, Ostrowski et al. 2002, Pazour et al. 2005, Stolc et al. 2005	Basal Body, Cilium, Golgi, IFT
ENSG00000100360	IFT27	intraflagellar transport 27 homolog (Chlamydomonas) [Source:HGNC Symbol;Acc:18626]	component of IFT complex B. Rab-like small G protein	PMID:22076686	Arnaiz et al. 2009, Arnaiz et al. 2010, Liu et al. 2007, Merchant et al. 2007, Ostrowski et al. 2002, Pazour et al. 2005, Ross et al. 2007, Stolc et al. 2005	Basal Body, Cilium, IFT
ENSG00000119650	IFT43	intraflagellar transport 43 homolog (Chlamydomonas) [Source:HGNC Symbol;Acc:29669]	component of IFT complex A	PMID:21378380	Boesger et al. 2009, Li et al. 2004, Merchant et al. 2007, Pazour et al. 2005, Ross et al. 2007	Basal Body, Cilium, IFT
ENSG00000118096	IFT46	intraflagellar transport 46 homolog (Chlamydomonas) [Source:HGNC Symbol;Acc:26146]	component of IFT complex B, confirmed in PMID:21289087	PMID:21289087	Arnaiz et al. 2009, Avidor-Reiss et al. 2004, Laurencon et al. 2007, Li et al. 2004, Liu et al. 2007, Merchant et al. 2007, Ostrowski et al. 2002, Pazour et al. 2005, Ross et al. 2007, Stolc et al. 2005	Basal Body, Cilium, IFT
ENSG00000101052	IFT52	intraflagellar transport 52 homolog (Chlamydomonas) [Source:HGNC Symbol;Acc:15901]	component of IFT complex B	PMID:11676918	Arnaiz et al. 2009, Avidor-Reiss et al. 2004, Blacque et al. 2005, Chen et al. 2006, Efimenko et al. 2005, Li et al. 2004, Liu et al. 2007, Merchant et al. 2007, Pazour et al. 2005, Smith et al. 2005, Stolc et al. 2005	Basal Body, Cilium, IFT
ENSG00000114446	IFT57	intraflagellar transport 57 homolog (Chlamydomonas) [Source:HGNC Symbol;Acc:17367]	component of IFT complex B	PMID:18492793	Arnaiz et al. 2009, Arnaiz et al. 2010, Avidor-Reiss et al. 2004, Blacque et al. 2005, Chen et al. 2006, Efimenko et al. 2005, Laurencon et al. 2007, Li et al. 2004, Liu et al. 2007, Merchant et al. 2007, Ostrowski et al. 2002, Pazour et al. 2005, Ross et al. 2007, Stolc et al. 2005	Basal Body, Cilium, IFT
ENSG00000096872	IFT74	intraflagellar transport 74 homolog (Chlamydomonas) [Source:HGNC Symbol;Acc:21424]	component of IFT complex B	PMID:15955805	Arnaiz et al. 2009, Arnaiz et al. 2010, Blacque et al. 2005, Chen et al. 2006, Li et al. 2004, Liu et al. 2007, McClintock et al. 2008, Merchant et al. 2007, Ostrowski et al. 2002, Pazour et al. 2005, Ross et al. 2007, Stolc et al. 2005	Basal Body, Cilium, IFT
ENSG00000068885	IFT80	intraflagellar transport 80 homolog (Chlamydomonas) [Source:HGNC Symbol;Acc:29262]	component of IFT complex B, ATD2 OMIM 611177	PMID:17468754	Arnaiz et al. 2009, Avidor-Reiss et al. 2004, Blacque et al. 2005, Chen et al. 2006, Efimenko et al. 2005, Li et al. 2004, Liu et al. 2007, Mayer et al. 2009, Merchant et al. 2007, Ostrowski et al. 2002, Pazour et al. 2005, Stolc et al. 2005	Basal Body, Cilium, IFT
ENSG00000122970	IFT81	intraflagellar transport 81 homolog (Chlamydomonas) [Source:HGNC Symbol;Acc:14313]	component of IFT complex B	PMID:15955805	Arnaiz et al. 2009, Arnaiz et al. 2010, Blacque et al. 2005, Chen et al. 2006, Li et al. 2004, Liu et al. 2007, Merchant et al. 2007, Ostrowski et al. 2002, Pazour et al. 2005, Ross et al. 2007, Stolc et al. 2005	Basal Body, Cilium, IFT
ENSG00000032742	IFT88	intraflagellar transport 88 homolog (Chlamydomonas) [Source:HGNC Symbol;Acc:20606]	component of IFT complex B	PMID:11062270	Arnaiz et al. 2009, Arnaiz et al. 2010, Avidor-Reiss et al. 2004, Blacque et al. 2005, Chen et al. 2006, Efimenko et al. 2005, Li et al. 2004, Liu et al. 2007, Merchant et al. 2007, Ostrowski et al. 2002, Pazour et al. 2005, Ross et al. 2007, Stolc et al. 2005	Basal Body, Cilium, IFT
ENSG00000148384	INPP5E	inositol polyphosphate-5-phosphatase, 72 kDa [Source:HGNC Symbol;Acc:21474]	JBTS1 OMIM 613037. cause primary cilium signaling defects, ciliary instability and ciliopathies in human and mouse	PMID:19668215	Kim et al. 2010	Axoneme
ENSG00000164066	INTU	inturned planar cell polarity effector homolog (Drosophila) [Source:HGNC Symbol;Acc:29239]	PMID:16493421 governs apical actin assembly and thus controls the orientation, but not assembly, of ciliary microtubules	PMID:16493421		Plasma Membrane
ENSG00000119509	INVS	inversin [Source:HGNC Symbol;Acc:17870]	Known ciliopathy gene NPHP2 OMIM 243305	PMID:12872123	Blacque et al. 2005, Nogales-Cadenas et al. 2006	Cilium, Basal Body, Centrosome
ENSG00000173226	IQCB1	IQ motif containing B1 [Source:HGNC Symbol;Acc:28949]	Known ciliopathy gene NPHP5, SLS5 OMIM 609237	PMID:15723066, PMID:20881296	Liu et al. 2007	Basal Body, Centrosome
ENSG00000117245	KIF17	kinesin family member 17 [Source:HGNC Symbol;Acc:19167]	Kinesin 2 motor, active in antergrade IFT PMID: 18304522, PMID: 16782012	PMID:18304522, PMID:16782012	Arnaiz et al. 2010, Wigge et al. 1998	Ciliary Tip
ENSG00000196169	KIF19	kinesin family member 19 [Source:HGNC Symbol;Acc:26735]	Microtubule-depolymerizing kinesin for ciliary length control PMID: 23168168	PMID:23168168		Ciliary Tip
ENSG00000186638	KIF24	kinesin family member 24 [Source:HGNC Symbol;Acc:19916]	Recruites CP110 to centrosome to regulate ciliogenesis PMID:21620453	PMID:21620453		Centriole
ENSG00000165115	KIF27	kinesin family member 27 [Source:HGNC Symbol;Acc:18632] 	Hydrocephalus due to dysfunctional motile cilia in KO mouse PMID: 21746835	PMID:21746835	McClintock et al. 2008, Pazour et al. 2005	
ENSG00000131437	KIF3A	kinesin family member 3A [Source:HGNC Symbol;Acc:6319]	Mouse mutants suffer Situs inversus and embryonic ciliary morphogenensis defects PMID:10220415	PMID:10220415	Arnaiz et al. 2010, Avidor-Reiss et al. 2004, Liu et al. 2007, Pazour et al. 2005, Wigge et al. 1998	Cilium
ENSG00000101350	KIF3B	kinesin family member 3B [Source:HGNC Symbol;Acc:6320]	Kinesin linked to IFT complex PMID: 12821668. KIF3B mutation in mouse cause randomization of left-right symetry PMID:9865700	PMID:9865700, PMID:12821668	Avidor-Reiss et al. 2004, Blacque et al. 2005, Laurencon et al. 2007, Liu et al. 2007, Pazour et al. 2005, Wigge et al. 1998	Cilium
ENSG00000084731	KIF3C	kinesin family member 3C [Source:HGNC Symbol;Acc:6321]	KIF3C dimerizes with KIF3A, redundant with KIF3B	PMID:23123805	Avidor-Reiss et al. 2004, Blacque et al. 2005, Laurencon et al. 2007, Pazour et al. 2005, Wigge et al. 1998	Cilium
ENSG00000166813	KIF7	kinesin family member 7 [Source:HGNC Symbol;Acc:30497]	JBTS12, mutation causes defect in cilia formation. Function in Hh-signaling	PMID:21633164, PMID:19592253	Pazour et al. 2005	Ciliary Tip
ENSG00000135338	LCA5	Leber congenital amaurosis 5 [Source:HGNC Symbol;Acc:31923]	Causes LCA OMIM 611408	PMID:17546029	Liu et al. 2007, Ostrowski et al. 2002	Basal Body, Cilium
ENSG00000129295	LRRC6	leucine rich repeat containing 6 [Source:HGNC Symbol;Acc:16725]	Essential for proper axonemal assembly of inner and outer dynein arms, causes PCD. PMID:23122589	PMID:23122589	Arnaiz et al. 2010, McClintock et al. 2008, Merchant et al. 2007, Ross et al. 2007	Cilium
ENSG00000163818	LZTFL1	leucine zipper transcription factor-like 1 [Source:HGNC Symbol;Acc:6741]	BBS. BBSome and smoothened trafficking regulator PMID: 22510444	PMID:22510444	Liu et al. 2007, Pazour et al. 2005, Ross et al. 2007	Basal Body, Cilium
ENSG00000111837	MAK	male germ cell-associated kinase [Source:HGNC Symbol;Acc:6816]	Mutation causes RP. RP62 OMIM 154235 	PMID:22110072	Liu et al. 2007, Ostrowski et al. 2002, Ross et al. 2007	Cilium
ENSG00000172005	MAL	mal, T-cell differentiation protein [Source:HGNC Symbol;Acc:6817] 	Absent/abnormal cilia when overexpressed PMID: 22895261. Punctate distribution in some cilia	PMID:22895261		Cilium
ENSG00000101367	MAPRE1	microtubule-associated protein, RP/EB family, member 1 [Source:HGNC Symbol;Acc:6890]	Also called EB1. MT plus-end-tracking protein. promotes ciliogenesis. PMID: 21768326	PMID:21768326	Andersen et al. 2003, Blacque et al. 2005, Liu et al. 2007, Mayer et al. 2008, Nogales-Cadenas et al. 2006, Pazour et al. 2005, Wigge et al. 1998	Centrosome, Cytosol, Golgi
ENSG00000128285	MCHR1	melanin-concentrating hormone receptor 1 [Source:HGNC Symbol;Acc:4479]	Localizes to primary cilia PMID: 18256283	PMID:18256283		Ciliary Membrane
ENSG00000111554	MDM1	Mdm1 nuclear protein homolog (mouse) [Source:HGNC Symbol;Acc:29917]	Upregulated during ciliogenesis and localize to centrosomes and primary cilia PMID: 23300604. Nonsense mutation in Mdm1 in the arrd2 mouse model for age-related retinal degeneration PMID: 18805803	PMID:23300604, PMID:18805803	Andersen et al. 2003, Liu et al. 2007, Nogales-Cadenas et al. 2006, Ross et al. 2007	Centrosome, Cilium
