"Ensembl Gene ID","Associated Gene Name","Description","CiliaCarta Rank","CiliaCarta Score","Inclusion criterionAllGold StandardPredictedGene Ontology"
"ENSG00000166402","TUB","tubby homolog (mouse) [Source:HGNC Symbol;Acc:12406]","196","3.136475395","Predicted, Gene Ontology"
"ENSG00000127914","AKAP9","A kinase (PRKA) anchor protein (yotiao) 9 [Source:HGNC Symbol;Acc:379]","197","3.105336769","Predicted, Gene Ontology"
"ENSG00000011485","PPP5C","protein phosphatase 5, catalytic subunit [Source:HGNC Symbol;Acc:9322]","198","3.041015806","Predicted"
"ENSG00000123416","TUBA1B","tubulin, alpha 1b [Source:HGNC Symbol;Acc:18809]","199","3.018064405","Predicted"
"ENSG00000167553","TUBA1C","tubulin, alpha 1c [Source:HGNC Symbol;Acc:20768]","200","3.018064405","Gold Standard"
"ENSG00000167306","MYO5B","myosin VB [Source:HGNC Symbol;Acc:7603]","201","2.998058713","Predicted"
"ENSG00000079156","OSBPL6","oxysterol binding protein-like 6 [Source:HGNC Symbol;Acc:16388]","202","2.985351268","Predicted"
"ENSG00000102781","KATNAL1","katanin p60 subunit A-like 1 [Source:HGNC Symbol;Acc:28361]","203","2.985351268","Predicted"
"ENSG00000144451","SPAG16","sperm associated antigen 16 [Source:HGNC Symbol;Acc:23225]","204","2.985351268","Gene Ontology, Gold Standard"
"ENSG00000119636","CCDC176","coiled-coil domain containing 176 [Source:HGNC Symbol;Acc:19855]","205","2.943095083","Predicted, Gene Ontology"
"ENSG00000128536","CDHR3","cadherin-related family member 3 [Source:HGNC Symbol;Acc:26308]","206","2.943095083","Predicted"
"ENSG00000129654","FOXJ1","forkhead box J1 [Source:HGNC Symbol;Acc:3816]","207","2.943095083","Gene Ontology, Gold Standard"
"ENSG00000152611","CAPSL","calcyphosine-like [Source:HGNC Symbol;Acc:28375]","208","2.943095083","Predicted"
"ENSG00000153347","FAM81B","family with sequence similarity 81, member B [Source:HGNC Symbol;Acc:26335]","209","2.943095083","Predicted"
"ENSG00000167646","DNAAF3","dynein, axonemal, assembly factor 3 [Source:HGNC Symbol;Acc:30492]","210","2.943095083","Gene Ontology, Gold Standard"
"ENSG00000178053","MLF1","myeloid leukemia factor 1 [Source:HGNC Symbol;Acc:7125]","211","2.943095083","Gold Standard"
"ENSG00000183644","C11orf88","chromosome 11 open reading frame 88 [Source:HGNC Symbol;Acc:25061]","212","2.943095083","Predicted"
"ENSG00000141367","CLTC","clathrin, heavy chain (Hc) [Source:HGNC Symbol;Acc:2092]","213","2.896765735","Predicted"
"ENSG00000163468","CCT3","chaperonin containing TCP1, subunit 3 (gamma) [Source:HGNC Symbol;Acc:1616]","214","2.892280427","Predicted"
"ENSG00000081870","HSPB11","heat shock protein family B (small), member 11 [Source:HGNC Symbol;Acc:25019]","215","2.888647846","Gene Ontology, Gold Standard"
"ENSG00000108883","EFTUD2","elongation factor Tu GTP binding domain containing 2 [Source:HGNC Symbol;Acc:30858]","216","2.880576497","Predicted"
"ENSG00000156508","EEF1A1","eukaryotic translation elongation factor 1 alpha 1 [Source:HGNC Symbol;Acc:3189]","217","2.880576497","Predicted"
"ENSG00000174373","RALGAPA1","Ral GTPase activating protein, alpha subunit 1 (catalytic) [Source:HGNC Symbol;Acc:17770]","218","2.825951084","Predicted"
"ENSG00000197694","SPTAN1","spectrin, alpha, non-erythrocytic 1 [Source:HGNC Symbol;Acc:11273]","219","2.825951084","Predicted"
"ENSG00000204843","DCTN1","dynactin 1 [Source:HGNC Symbol;Acc:2711]","220","2.825951084","Predicted, Gene Ontology"
"ENSG00000042317","SPATA7","spermatogenesis associated 7 [Source:HGNC Symbol;Acc:20423]","221","2.739912466","Gene Ontology, Gold Standard"
"ENSG00000058453","CROCC","ciliary rootlet coiled-coil, rootletin [Source:HGNC Symbol;Acc:21299]","222","2.739912466","Gene Ontology, Gold Standard"
"ENSG00000070087","PFN2","profilin 2 [Source:HGNC Symbol;Acc:8882]","223","2.739912466","Predicted"
"ENSG00000140463","BBS4","Bardet-Biedl syndrome 4 [Source:HGNC Symbol;Acc:969]","224","2.739912466","Gene Ontology, Gold Standard"
"ENSG00000171533","MAP6","microtubule-associated protein 6 [Source:HGNC Symbol;Acc:6868]","225","2.739912466","Predicted"
"ENSG00000175792","RUVBL1","RuvB-like 1 (E. coli) [Source:HGNC Symbol;Acc:10474]","226","2.739912466","Predicted"
"ENSG00000112796","ENPP5","ectonucleotide pyrophosphatase/phosphodiesterase 5 (putative) [Source:HGNC Symbol;Acc:13717]","227","2.656599254","Predicted"
"ENSG00000153822","KCNJ16","potassium inwardly-rectifying channel, subfamily J, member 16 [Source:HGNC Symbol;Acc:6262]","229","2.656599254","Predicted"
"ENSG00000166592","RRAD","Ras-related associated with diabetes [Source:HGNC Symbol;Acc:10446]","230","2.656599254","Predicted"
"ENSG00000203666","EFCAB2","EF-hand calcium binding domain 2 [Source:HGNC Symbol;Acc:28166]","231","2.656599254","Predicted"
"ENSG00000120051","CCDC147","coiled-coil domain containing 147 [Source:HGNC Symbol;Acc:26676]","232","2.649985513","Predicted, Gene Ontology"
"ENSG00000130413","STK33","serine/threonine kinase 33 [Source:HGNC Symbol;Acc:14568]","233","2.649985513","Predicted"
"ENSG00000141499","WRAP53","WD repeat containing, antisense to TP53 [Source:HGNC Symbol;Acc:25522]","234","2.649985513","Predicted"
"ENSG00000168734","PKIG","protein kinase (cAMP-dependent, catalytic) inhibitor gamma [Source:HGNC Symbol;Acc:9019]","235","2.649985513","Predicted"
"ENSG00000108946","PRKAR1A","protein kinase, cAMP-dependent, regulatory, type I, alpha [Source:HGNC Symbol;Acc:9388]","237","2.628566946","Predicted, Gene Ontology"
"ENSG00000125868","DSTN","destrin (actin depolymerizing factor) [Source:HGNC Symbol;Acc:15750]","238","2.628566946","Predicted"
"ENSG00000174437","ATP2A2","ATPase, Ca++ transporting, cardiac muscle, slow twitch 2 [Source:HGNC Symbol;Acc:812]","239","2.628566946","Predicted"
"ENSG00000005249","PRKAR2B","protein kinase, cAMP-dependent, regulatory, type II, beta [Source:HGNC Symbol;Acc:9392]","240","2.618153825","Predicted, Gene Ontology"
"ENSG00000075886","TUBA3D","tubulin, alpha 3d [Source:HGNC Symbol;Acc:24071]","241","2.604470323","Predicted"
"ENSG00000204052","LRRC73","leucine rich repeat containing 73 [Source:HGNC Symbol;Acc:21375]","242","2.602152017","Predicted"
"ENSG00000139637","C12orf10","chromosome 12 open reading frame 10 [Source:HGNC Symbol;Acc:17590]","243","2.59858324","Predicted"
"ENSG00000100211","CBY1","chibby homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:1307]","244","2.553597624","Gene Ontology, Gold Standard"
"ENSG00000134874","DZIP1","DAZ interacting protein 1 [Source:HGNC Symbol;Acc:20908]","245","2.553597624","Predicted, Gene Ontology"
"ENSG00000162105","SHANK2","SH3 and multiple ankyrin repeat domains 2 [Source:HGNC Symbol;Acc:14295]","246","2.553597624","Predicted, Gene Ontology"
"ENSG00000163617","KIAA1407","KIAA1407 [Source:HGNC Symbol;Acc:29272]","247","2.553597624","Predicted"
"ENSG00000166171","DPCD","deleted in primary ciliary dyskinesia homolog (mouse) [Source:HGNC Symbol;Acc:24542]","248","2.553597624","Gold Standard"
"ENSG00000166578","IQCD","IQ motif containing D [Source:HGNC Symbol;Acc:25168]","249","2.553597624","Predicted"
"ENSG00000179029","TMEM107","transmembrane protein 107 [Source:HGNC Symbol;Acc:28128]","250","2.553597624","Predicted, Gene Ontology"
"ENSG00000181004","BBS12","Bardet-Biedl syndrome 12 [Source:HGNC Symbol;Acc:26648]","251","2.553597624","Gene Ontology, Gold Standard"
"ENSG00000108953","YWHAE","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide [Source:HGNC Symbol;Acc:12851]","252","2.540703114","Predicted, Gene Ontology"
"ENSG00000118492","ADGB","androglobin [Source:HGNC Symbol;Acc:21212]","253","2.510640531","Predicted"
"ENSG00000140284","SLC27A2","solute carrier family 27 (fatty acid transporter), member 2 [Source:HGNC Symbol;Acc:10996]","254","2.510640531","Predicted"
"ENSG00000149292","TTC12","tetratricopeptide repeat domain 12 [Source:HGNC Symbol;Acc:23700]","255","2.510640531","Gold Standard"
"ENSG00000152582","SPEF2","sperm flagellar 2 [Source:HGNC Symbol;Acc:26293]","256","2.510640531","Gold Standard"
"ENSG00000156206","C15orf26","chromosome 15 open reading frame 26 [Source:HGNC Symbol;Acc:26782]","257","2.510640531","Predicted"
"ENSG00000156345","CDK20","cyclin-dependent kinase 20 [Source:HGNC Symbol;Acc:21420]","258","2.510640531","Predicted, Gene Ontology"
"ENSG00000166352","C11orf74","chromosome 11 open reading frame 74 [Source:HGNC Symbol;Acc:25142]","259","2.510640531","Predicted, Gene Ontology"
"ENSG00000070718","AP3M2","adaptor-related protein complex 3, mu 2 subunit [Source:HGNC Symbol;Acc:570]","260","2.453416637","Predicted"
"ENSG00000163001","CCDC104","coiled-coil domain containing 104 [Source:HGNC Symbol;Acc:30540]","261","2.453416637","Predicted, Gene Ontology"
"ENSG00000184831","APOO","apolipoprotein O [Source:HGNC Symbol;Acc:28727]","262","2.453416637","Predicted"
"ENSG00000163686","ABHD6","abhydrolase domain containing 6 [Source:HGNC Symbol;Acc:21398]","263","2.410459545","Predicted"
"ENSG00000101333","PLCB4","phospholipase C, beta 4 [Source:HGNC Symbol;Acc:9059]","264","2.40583895","Predicted"
"ENSG00000197748","WDR96","WD repeat domain 96 [Source:HGNC Symbol;Acc:26684]","265","2.371351284","Predicted"
"ENSG00000099995","SF3A1","splicing factor 3a, subunit 1, 120kDa [Source:HGNC Symbol;Acc:10765]","266","2.363708243","Predicted"
"ENSG00000101104","PABPC1L","poly(A) binding protein, cytoplasmic 1-like [Source:HGNC Symbol;Acc:15797]","267","2.363708243","Predicted"
"ENSG00000039139","DNAH5","dynein, axonemal, heavy chain 5 [Source:HGNC Symbol;Acc:2950]","268","2.268349653","Gene Ontology, Gold Standard"
"ENSG00000100246","DNAL4","dynein, axonemal, light chain 4 [Source:HGNC Symbol;Acc:2955]","269","2.268349653","Predicted, Gene Ontology"
"ENSG00000119685","TTLL5","tubulin tyrosine ligase-like family, member 5 [Source:HGNC Symbol;Acc:19963]","270","2.268349653","Predicted, Gene Ontology"
"ENSG00000175970","UNC119B","unc-119 homolog B (C. elegans) [Source:HGNC Symbol;Acc:16488]","271","2.268349653","Predicted, Gene Ontology"
"ENSG00000213123","TCTEX1D2","Tctex1 domain containing 2 [Source:HGNC Symbol;Acc:28482]","272","2.268349653","Predicted, Gene Ontology"
"ENSG00000136811","ODF2","outer dense fiber of sperm tails 2 [Source:HGNC Symbol;Acc:8114]","273","2.253133046","Gene Ontology, Gold Standard"
"ENSG00000154380","ENAH","enabled homolog (Drosophila) [Source:HGNC Symbol;Acc:18271]","274","2.253133046","Predicted"
"ENSG00000132259","CNGA4","cyclic nucleotide gated channel alpha 4 [Source:HGNC Symbol;Acc:2152]","275","2.224144702","Gene Ontology, Gold Standard"
"ENSG00000173588","CCDC41","coiled-coil domain containing 41 [Source:HGNC Symbol;Acc:17966]","276","2.224144702","Gene Ontology, Gold Standard"
"ENSG00000183346","C10orf107","chromosome 10 open reading frame 107 [Source:HGNC Symbol;Acc:28678]","277","2.224144702","Predicted, Gene Ontology"
"ENSG00000203965","EFCAB7","EF-hand calcium binding domain 7 [Source:HGNC Symbol;Acc:29379]","278","2.224144702","Predicted, Gene Ontology"
"ENSG00000086758","HUWE1","HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:30892]","279","2.214972863","Predicted"
"ENSG00000087191","PSMC5","proteasome (prosome, macropain) 26S subunit, ATPase, 5 [Source:HGNC Symbol;Acc:9552]","280","2.214972863","Predicted"
"ENSG00000127948","POR","P450 (cytochrome) oxidoreductase [Source:HGNC Symbol;Acc:9208]","281","2.214972863","Predicted"
"ENSG00000166598","HSP90B1","heat shock protein 90kDa beta (Grp94), member 1 [Source:HGNC Symbol;Acc:12028]","282","2.214972863","Predicted"
"ENSG00000196455","PIK3R4","phosphoinositide-3-kinase, regulatory subunit 4 [Source:HGNC Symbol;Acc:8982]","283","2.214972863","Predicted, Gene Ontology"
"ENSG00000137267","TUBB2A","tubulin, beta 2A class IIa [Source:HGNC Symbol;Acc:12412]","284","2.17201577","Gold Standard"
"ENSG00000137285","TUBB2B","tubulin, beta 2B class IIb [Source:HGNC Symbol;Acc:30829]","285","2.17201577","Gold Standard"
"ENSG00000161057","PSMC2","proteasome (prosome, macropain) 26S subunit, ATPase, 2 [Source:HGNC Symbol;Acc:9548]","286","2.17201577","Predicted"
"ENSG00000122643","NT5C3","5'-nucleotidase, cytosolic III [Source:HGNC Symbol;Acc:17820]","287","2.16507687","Predicted"
"ENSG00000135778","NTPCR","nucleoside-triphosphatase, cancer-related [Source:HGNC Symbol;Acc:28204]","288","2.16507687","Predicted"
"ENSG00000074054","CLASP1","cytoplasmic linker associated protein 1 [Source:HGNC Symbol;Acc:17088]","289","2.148643521","Predicted, Gene Ontology"
"ENSG00000087111","PIGS","phosphatidylinositol glycan anchor biosynthesis, class S [Source:HGNC Symbol;Acc:14937]","290","2.148643521","Predicted"
"ENSG00000134308","YWHAQ","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide [Source:HGNC Symbol;Acc:12854]","291","2.148643521","Predicted"
"ENSG00000119977","TCTN3","tectonic family member 3 [Source:HGNC Symbol;Acc:24519]","292","2.104397667","Gene Ontology, Gold Standard"
"ENSG00000127445","PIN1","peptidylprolyl cis/trans isomerase, NIMA-interacting 1 [Source:HGNC Symbol;Acc:8988]","293","2.104397667","Predicted"
"ENSG00000179387","ELMOD2","ELMO/CED-12 domain containing 2 [Source:HGNC Symbol;Acc:28111]","294","2.104397667","Predicted"
"ENSG00000182973","CNOT10","CCR4-NOT transcription complex, subunit 10 [Source:HGNC Symbol;Acc:23817]","295","2.104397667","Predicted"
"ENSG00000198589","LRBA","LPS-responsive vesicle trafficking, beach and anchor containing [Source:HGNC Symbol;Acc:1742]","296","2.104397667","Predicted"
"ENSG00000198612","COPS8","COP9 constitutive photomorphogenic homolog subunit 8 (Arabidopsis) [Source:HGNC Symbol;Acc:24335]","297","2.104397667","Predicted"
"ENSG00000109756","RAPGEF2","Rap guanine nucleotide exchange factor (GEF) 2 [Source:HGNC Symbol;Acc:16854]","298","2.088084441","Predicted"
"ENSG00000143653","SCCPDH","saccharopine dehydrogenase (putative) [Source:HGNC Symbol;Acc:24275]","299","2.061440574","Predicted"
"ENSG00000144061","NPHP1","nephronophthisis 1 (juvenile) [Source:HGNC Symbol;Acc:7905]","300","2.061440574","Gene Ontology, Gold Standard"
"ENSG00000084764","MAPRE3","microtubule-associated protein, RP/EB family, member 3 [Source:HGNC Symbol;Acc:6892]","301","2.01634149","Predicted"
"ENSG00000087460","GNAS","GNAS complex locus [Source:HGNC Symbol;Acc:4392]","302","2.01634149","Predicted"
"ENSG00000164104","HMGB2","high mobility group box 2 [Source:HGNC Symbol;Acc:5000]","303","2.01634149","Predicted"
"ENSG00000168778","TCTN2","tectonic family member 2 [Source:HGNC Symbol;Acc:25774]","304","2.01634149","Gene Ontology, Gold Standard"
"ENSG00000132321","IQCA1","IQ motif containing with AAA domain 1 [Source:HGNC Symbol;Acc:26195]","305","1.981853824","Predicted"
"ENSG00000163349","HIPK1","homeodomain interacting protein kinase 1 [Source:HGNC Symbol;Acc:19006]","306","1.981853824","Predicted"
"ENSG00000153904","DDAH1","dimethylarginine dimethylaminohydrolase 1 [Source:HGNC Symbol;Acc:2715]","307","1.973384397","Predicted"
"ENSG00000125971","DYNLRB1","dynein, light chain, roadblock-type 1 [Source:HGNC Symbol;Acc:15468]","308","1.967885076","Predicted, Gene Ontology"
"ENSG00000010626","LRRC23","leucine rich repeat containing 23 [Source:HGNC Symbol;Acc:19138]","309","1.939597639","Predicted"
"ENSG00000088727","KIF9","kinesin family member 9 [Source:HGNC Symbol;Acc:16666]","310","1.939597639","Predicted"
"ENSG00000105519","CAPS","calcyphosine [Source:HGNC Symbol;Acc:1487]","311","1.939597639","Predicted"
"ENSG00000117477","C1orf114","chromosome 1 open reading frame 114 [Source:HGNC Symbol;Acc:28051]","312","1.939597639","Predicted, Gene Ontology"
"ENSG00000118307","CASC1","cancer susceptibility candidate 1 [Source:HGNC Symbol;Acc:29599]","313","1.939597639","Predicted"
"ENSG00000120262","CCDC170","coiled-coil domain containing 170 [Source:HGNC Symbol;Acc:21177]","314","1.939597639","Predicted"
"ENSG00000133115","STOML3","stomatin (EPB72)-like 3 [Source:HGNC Symbol;Acc:19420]","315","1.939597639","Gene Ontology, Gold Standard"
"ENSG00000135951","TSGA10","testis specific, 10 [Source:HGNC Symbol;Acc:14927]","316","1.939597639","Predicted, Gene Ontology"
"ENSG00000137691","C11orf70","chromosome 11 open reading frame 70 [Source:HGNC Symbol;Acc:28188]","317","1.939597639","Predicted"
"ENSG00000138400","MDH1B","malate dehydrogenase 1B, NAD (soluble) [Source:HGNC Symbol;Acc:17836]","318","1.939597639","Predicted"
"ENSG00000156042","TTC18","tetratricopeptide repeat domain 18 [Source:HGNC Symbol;Acc:30726]","319","1.939597639","Predicted, Gene Ontology"
"ENSG00000159588","CCDC17","coiled-coil domain containing 17 [Source:HGNC Symbol;Acc:26574]","320","1.939597639","Predicted"
"ENSG00000161574","CCL15-CCL14","CCL15-CCL14 readthrough (non-protein coding) [Source:HGNC Symbol;Acc:44436]","321","1.939597639","Predicted"
"ENSG00000162004","CCDC78","coiled-coil domain containing 78 [Source:HGNC Symbol;Acc:14153]","322","1.939597639","Predicted"
"ENSG00000163040","CCDC74A","coiled-coil domain containing 74A [Source:HGNC Symbol;Acc:25197]","323","1.939597639","Predicted"
"ENSG00000164746","C7orf57","chromosome 7 open reading frame 57 [Source:HGNC Symbol;Acc:22247]","324","1.939597639","Predicted"
"ENSG00000164972","C9orf24","chromosome 9 open reading frame 24 [Source:HGNC Symbol;Acc:19919]","325","1.939597639","Predicted"
"ENSG00000167858","TEKT1","tektin 1 [Source:HGNC Symbol;Acc:15534]","326","1.939597639","Predicted, Gene Ontology"
"ENSG00000168658","VWA3B","von Willebrand factor A domain containing 3B [Source:HGNC Symbol;Acc:28385]","327","1.939597639","Predicted"
"ENSG00000169064","ZBBX","zinc finger, B-box domain containing [Source:HGNC Symbol;Acc:26245]","328","1.939597639","Predicted"
"ENSG00000171757","LRRC34","leucine rich repeat containing 34 [Source:HGNC Symbol;Acc:28408]","329","1.939597639","Predicted"
"ENSG00000173467","AGR3","anterior gradient 3 homolog (Xenopus laevis) [Source:HGNC Symbol;Acc:24167]","330","1.939597639","Predicted"
"ENSG00000175664","TEX26","testis expressed 26 [Source:HGNC Symbol;Acc:28622]","331","1.939597639","Predicted"
"ENSG00000177459","C8orf47","chromosome 8 open reading frame 47 [Source:HGNC Symbol;Acc:26823]","332","1.939597639","Predicted"
"ENSG00000179813","FAM216B","family with sequence similarity 216, member B [Source:HGNC Symbol;Acc:26883]","333","1.939597639","Predicted"
"ENSG00000185681","MORN5","MORN repeat containing 5 [Source:HGNC Symbol;Acc:17841]","334","1.939597639","Predicted"
"ENSG00000186471","AKAP14","A kinase (PRKA) anchor protein 14 [Source:HGNC Symbol;Acc:24061]","335","1.939597639","Predicted, Gene Ontology"
"ENSG00000188817","SNTN","sentan, cilia apical structure protein [Source:HGNC Symbol;Acc:33706]","336","1.939597639","Predicted, Gene Ontology"
"ENSG00000197208","SLC22A4","solute carrier family 22 (organic cation/ergothioneine transporter), member 4 [Source:HGNC Symbol;Acc:10968]","337","1.939597639","Predicted"
"ENSG00000204711","C9orf135","chromosome 9 open reading frame 135 [Source:HGNC Symbol;Acc:31422]","338","1.939597639","Predicted"
"ENSG00000155097","ATP6V1C1","ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C1 [Source:HGNC Symbol;Acc:856]","339","1.939349061","Predicted"
"ENSG00000111752","PHC1","polyhomeotic homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:3182]","340","1.915524482","Predicted"
"ENSG00000032389","TSSC1","tumor suppressing subtransferable candidate 1 [Source:HGNC Symbol;Acc:12383]","341","1.888782982","Predicted"
"ENSG00000065665","SEC61A2","Sec61 alpha 2 subunit (S. cerevisiae) [Source:HGNC Symbol;Acc:17702]","342","1.888782982","Predicted"
"ENSG00000165092","ALDH1A1","aldehyde dehydrogenase 1 family, member A1 [Source:HGNC Symbol;Acc:402]","343","1.886220849","Predicted"
"ENSG00000188352","FOCAD","focadhesin [Source:HGNC Symbol;Acc:23377]","344","1.885150402","Predicted"
"ENSG00000087903","RFX2","regulatory factor X, 2 (influences HLA class II expression) [Source:HGNC Symbol;Acc:9983]","345","1.875125732","Predicted, Gene Ontology"
"ENSG00000104450","SPAG1","sperm associated antigen 1 [Source:HGNC Symbol;Acc:11212]","346","1.875125732","Predicted, Gene Ontology"
"ENSG00000065150","IPO5","importin 5 [Source:HGNC Symbol;Acc:6402]","347","1.86339555","Predicted"
"ENSG00000226704","HSPA1L","heat shock 70kDa protein 1-like [Source:HGNC Symbol;Acc:5234]","348","1.827481408","Predicted"
"ENSG00000069329","VPS35","vacuolar protein sorting 35 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:13487]","349","1.819149696","Predicted"
"ENSG00000109083","IFT20","intraflagellar transport 20 homolog (Chlamydomonas) [Source:HGNC Symbol;Acc:30989]","350","1.819149696","Gene Ontology, Gold Standard"
"ENSG00000133026","MYH10","myosin, heavy chain 10, non-muscle [Source:HGNC Symbol;Acc:7568]","351","1.819149696","Predicted"
"ENSG00000164070","HSPA4L","heat shock 70kDa protein 4-like [Source:HGNC Symbol;Acc:17041]","352","1.819149696","Predicted"
"ENSG00000046651","OFD1","oral-facial-digital syndrome 1 [Source:HGNC Symbol;Acc:2567]","353","1.752820354","Gene Ontology, Gold Standard"
"ENSG00000198707","CEP290","centrosomal protein 290kDa [Source:HGNC Symbol;Acc:29021]","354","1.752820354","Gene Ontology, Gold Standard"
"ENSG00000068796","KIF2A","kinesin heavy chain member 2A [Source:HGNC Symbol;Acc:6318]","355","1.73109352","Predicted, Gene Ontology"
"ENSG00000087365","SF3B2","splicing factor 3b, subunit 2, 145kDa [Source:HGNC Symbol;Acc:10769]","356","1.73109352","Predicted"
"ENSG00000096384","HSP90AB1","heat shock protein 90kDa alpha (cytosolic), class B member 1 [Source:HGNC Symbol;Acc:5258]","357","1.73109352","Predicted"
"ENSG00000113558","SKP1","S-phase kinase-associated protein 1 [Source:HGNC Symbol;Acc:10899]","359","1.73109352","Predicted"
"ENSG00000166226","CCT2","chaperonin containing TCP1, subunit 2 (beta) [Source:HGNC Symbol;Acc:1615]","361","1.73109352","Predicted"
"ENSG00000204390","HSPA1L","heat shock 70kDa protein 1-like [Source:HGNC Symbol;Acc:5234]","362","1.73109352","Predicted"
"ENSG00000206383","HSPA1L","heat shock 70kDa protein 1-like [Source:HGNC Symbol;Acc:5234]","363","1.73109352","Predicted"
"ENSG00000234258","HSPA1L","heat shock 70kDa protein 1-like [Source:HGNC Symbol;Acc:5234]","364","1.73109352","Predicted"
"ENSG00000236251","HSPA1L","heat shock 70kDa protein 1-like [Source:HGNC Symbol;Acc:5234]","365","1.73109352","Predicted"
"ENSG00000054654","SYNE2","spectrin repeat containing, nuclear envelope 2 [Source:HGNC Symbol;Acc:17084]","366","1.664764177","Gene Ontology, Gold Standard"
"ENSG00000083535","PIBF1","progesterone immunomodulatory binding factor 1 [Source:HGNC Symbol;Acc:23352]","367","1.664764177","Gene Ontology, Gold Standard"
"ENSG00000104695","PPP2CB","protein phosphatase 2, catalytic subunit, beta isozyme [Source:HGNC Symbol;Acc:9300]","368","1.664764177","Predicted"
"ENSG00000171703","TCEA2","transcription elongation factor A (SII), 2 [Source:HGNC Symbol;Acc:11614]","369","1.632834854","Predicted"
"ENSG00000183914","DNAH2","dynein, axonemal, heavy chain 2 [Source:HGNC Symbol;Acc:2948]","370","1.632834854","Gene Ontology, Gold Standard"
"ENSG00000141013","GAS8","growth arrest-specific 8 [Source:HGNC Symbol;Acc:4166]","371","1.630276511","Gene Ontology, Gold Standard"
"ENSG00000169118","CSNK1G1","casein kinase 1, gamma 1 [Source:HGNC Symbol;Acc:2454]","372","1.625069501","Predicted"
"ENSG00000089289","IGBP1","immunoglobulin (CD79A) binding protein 1 [Source:HGNC Symbol;Acc:5461]","373","1.560790088","Predicted"
"ENSG00000243955","GSTA1","glutathione S-transferase alpha 1 [Source:HGNC Symbol;Acc:4626]","374","1.551076885","Predicted"
"ENSG00000244067","GSTA2","glutathione S-transferase alpha 2 [Source:HGNC Symbol;Acc:4627]","375","1.551076885","Predicted"
"ENSG00000103599","IQCH","IQ motif containing H [Source:HGNC Symbol;Acc:25721]","376","1.55010018","Predicted"
"ENSG00000121413","ZSCAN18","zinc finger and SCAN domain containing 18 [Source:HGNC Symbol;Acc:21037]","377","1.55010018","Predicted"
"ENSG00000124074","ENKD1","enkurin domain containing 1 [Source:HGNC Symbol;Acc:25246]","378","1.55010018","Predicted"
"ENSG00000125409","TEKT3","tektin 3 [Source:HGNC Symbol;Acc:14293]","379","1.55010018","Predicted, Gene Ontology"
"ENSG00000132554","RGS22","regulator of G-protein signaling 22 [Source:HGNC Symbol;Acc:24499]","380","1.55010018","Predicted"
"ENSG00000135469","COQ10A","coenzyme Q10 homolog A (S. cerevisiae) [Source:HGNC Symbol;Acc:26515]","381","1.55010018","Predicted"
"ENSG00000140104","C14orf79","chromosome 14 open reading frame 79 [Source:HGNC Symbol;Acc:20126]","382","1.55010018","Predicted"
"ENSG00000140481","CCDC33","coiled-coil domain containing 33 [Source:HGNC Symbol;Acc:26552]","383","1.55010018","Predicted"
"ENSG00000149179","C11orf49","chromosome 11 open reading frame 49 [Source:HGNC Symbol;Acc:28720]","384","1.55010018","Predicted"
"ENSG00000158113","LRRC43","leucine rich repeat containing 43 [Source:HGNC Symbol;Acc:28562]","385","1.55010018","Predicted"
"ENSG00000160298","C21orf58","chromosome 21 open reading frame 58 [Source:HGNC Symbol;Acc:1300]","386","1.55010018","Predicted"
"ENSG00000160401","C9orf117","chromosome 9 open reading frame 117 [Source:HGNC Symbol;Acc:27843]","387","1.55010018","Predicted, Gene Ontology"
"ENSG00000166246","C16orf71","chromosome 16 open reading frame 71 [Source:HGNC Symbol;Acc:25081]","388","1.55010018","Predicted"
"ENSG00000170788","DYDC1","DPY30 domain containing 1 [Source:HGNC Symbol;Acc:23460]","389","1.55010018","Predicted"
"ENSG00000174628","IQCK","IQ motif containing K [Source:HGNC Symbol;Acc:28556]","390","1.55010018","Predicted"
"ENSG00000186952","TMEM232","transmembrane protein 232 [Source:HGNC Symbol;Acc:37270]","391","1.55010018","Predicted"
"ENSG00000188659","FAM154B","family with sequence similarity 154, member B [Source:HGNC Symbol;Acc:33727]","392","1.55010018","Predicted"
"ENSG00000198920","KIAA0753","KIAA0753 [Source:HGNC Symbol;Acc:29110]","393","1.55010018","Predicted"
"ENSG00000100228","RAB36","RAB36, member RAS oncogene family [Source:HGNC Symbol;Acc:9775]","395","1.507143087","Predicted"
"ENSG00000102904","TSNAXIP1","translin-associated factor X interacting protein 1 [Source:HGNC Symbol;Acc:18586]","396","1.507143087","Predicted"
"ENSG00000106012","IQCE","IQ motif containing E [Source:HGNC Symbol;Acc:29171]","397","1.507143087","Predicted, Gene Ontology"
"ENSG00000109771","LRP2BP","LRP2 binding protein [Source:HGNC Symbol;Acc:25434]","398","1.507143087","Predicted"
"ENSG00000110318","KIAA1377","KIAA1377 [Source:HGNC Symbol;Acc:29264]","399","1.507143087","Predicted, Gene Ontology"
